,size,prob,trial,result
524,2000,0.06,24,8.0
525,2000,0.06,25,7.0
526,2000,0.06,26,8.0
527,2000,0.06,27,7.0
528,2000,0.06,28,8.0
529,2000,0.06,29,8.0
530,2000,0.06,30,8.0
531,2000,0.06,31,8.0
532,2000,0.06,32,8.0
533,2000,0.06,33,8.0
534,2000,0.06,34,8.0
535,2000,0.06,35,8.0
536,2000,0.06,36,9.0
537,2000,0.06,37,8.0
538,2000,0.06,38,8.0
539,2000,0.06,39,7.0
540,2000,0.06,40,7.0
541,2000,0.06,41,8.0
542,2000,0.06,42,8.0
543,2000,0.06,43,8.0
544,2000,0.06,44,9.0
545,2000,0.06,45,9.0
546,2000,0.06,46,8.0
547,2000,0.06,47,8.0
548,2000,0.06,48,7.0
549,2000,0.06,49,7.0
550,2000,0.06,50,9.0
551,2000,0.06,51,8.0
552,2000,0.06,52,7.0
553,2000,0.06,53,7.0
554,2000,0.06,54,8.0
555,2000,0.06,55,8.0
556,2000,0.06,56,7.0
557,2000,0.06,57,8.0
558,2000,0.06,58,7.0
559,2000,0.06,59,8.0
560,2000,0.06,60,8.0
561,2000,0.06,61,7.0
562,2000,0.06,62,8.0
563,2000,0.06,63,7.0
564,2000,0.06,64,8.0
565,2000,0.06,65,8.0
566,2000,0.06,66,8.0
567,2000,0.06,67,7.0
568,2000,0.06,68,8.0
569,2000,0.06,69,8.0
570,2000,0.06,70,7.0
571,2000,0.06,71,7.0
572,2000,0.06,72,8.0
573,2000,0.06,73,7.0
574,2000,0.06,74,7.0
575,2000,0.06,75,8.0
576,2000,0.06,76,7.0
577,2000,0.06,77,9.0
578,2000,0.06,78,7.0
579,2000,0.06,79,7.0
580,2000,0.06,80,7.0
581,2000,0.06,81,7.0
582,2000,0.06,82,8.0
583,2000,0.06,83,7.0
584,2000,0.06,84,8.0
585,2000,0.06,85,8.0
586,2000,0.06,86,10.0
587,2000,0.06,87,7.0
588,2000,0.06,88,7.0
589,2000,0.06,89,7.0
590,2000,0.06,90,8.0
591,2000,0.06,91,7.0
592,2000,0.06,92,8.0
593,2000,0.06,93,7.0
594,2000,0.06,94,7.0
595,2000,0.06,95,9.0
596,2000,0.06,96,8.0
